,Run,Current BTC,Total Profit,Average BTC Price,Ending BTC Price,,,,, Current BTC , Total Profit , Average BTC Price , Ending BTC Price 
123,123,0.485469918,48896.77353,3518.727868,1951.423037,,,,,,,,
124,124,0.215862879,93283.25539,10409.43716,13492.52532,,,,,,,,
125,125,0.192978973,74024.49288,7975.138226,9849.570586,,,,,,,,
126,126,1.180777375,71972.66032,13126.24735,23452.04497,,,,,,,,
127,127,0.894920577,78199.23791,39005.17185,67598.04107,,,,,,,,
128,128,0.315983654,71556.90851,14826.959,14403.20874,,,,,,,,
129,129,0.157025163,74725.32418,11650.55454,19444.9567,,,,,,,,
130,130,0.545081623,66982.78084,5845.39033,8421.530589,,,,,,,,
131,131,1.085741342,73965.01148,24557.89948,68967.99841,,,,,,,,
132,132,1.101161081,55401.38704,5652.143576,7703.819544,,,,,,,,
133,133,0.669178433,64432.73682,35561.20698,68531.745,,,,,,,,
134,134,0.964856307,58543.33965,11480.96962,15131.57565,,,,,,,,
135,135,0.839836297,61034.53934,8385.531842,11400.35135,,,,,,,,
136,136,0.767704031,61681.14635,5677.785536,7026.854222,,,,,,,,
137,137,0.024479534,77451.73851,7455.589671,12210.54988,,,,,,,,
138,138,0.942937938,77049.80164,22678.08391,50905.52576,,,,,,,,
139,139,0.002172573,60032.35626,4562.958529,4456.600462,,,,,,,,
140,140,1.046313947,56842.42643,4577.905735,2398.494971,,,,,,,,
141,141,0.496845136,86900.48688,42126.2667,71020.28574,,,,,,,,
142,142,0.105126687,97728.30322,24795.80706,21208.33681,,,,,,,,
143,143,0.271655694,72470.63242,13587.93873,30568.03395,,,,,,,,
144,144,1.156054674,72460.3035,11305.98895,15682.89797,,,,,,,,
145,145,0.15848347,74840.40914,5974.863191,7239.107573,,,,,,,,
146,146,1.190100922,71811.74284,12100.71202,17939.64126,,,,,,,,
147,147,0.87349285,60354.1619,10220.38214,25350.91505,,,,,,,,
148,148,0.868841604,60412.72097,28168.67302,103776.2194,,,,,,,,
149,149,1.044165771,75002.59453,36935.82095,152061.5227,,,,,,,,
150,150,0.426667596,69310.13257,36074.17264,68992.05304,,,,,,,,
151,151,0.398871834,69963.10441,5314.005649,3610.292436,,,,,,,,
152,152,1.042333393,56929.84674,4909.037753,3090.253741,,,,,,,,
153,153,0.427729799,69281.92051,11224.22639,28447.26906,,,,,,,,
154,154,0.042320798,77109.11532,7683.938754,13077.27204,,,,,,,,
155,155,0.953336209,58663.71695,6437.59645,11219.64063,,,,,,,,
156,156,0.016292402,77523.81308,8134.300018,13069.19333,,,,,,,,
157,157,0.77959992,80681.03922,26142.56406,72847.79348,,,,,,,,
158,158,0.843505106,60618.00011,5554.274897,7501.813594,,,,,,,,
159,159,0.011157216,77793.79989,37496.16278,67595.52121,,,,,,,,
160,160,0.476374144,87434.80363,28500.81544,94255.91789,,,,,,,,
161,161,1.436040242,87723.42184,30479.23331,38565.2015,,,,,,,,
162,162,0.404156402,69741.80146,9405.080691,12827.7242,,,,,,,,
163,163,1.379238429,67884.09784,15745.62509,11692.14665,,,,,,,,
164,164,0.949423179,76871.21309,12537.80851,19015.28217,,,,,,,,
165,165,1.45020574,66400.70186,16065.02291,16892.81017,,,,,,,,
166,166,0.560702163,66589.73866,6968.242506,10581.25988,,,,,,,,
167,167,0.49516702,67904.41273,14674.22339,32811.80035,,,,,,,,
168,168,1.375430317,67913.68982,11181.86665,15135.84447,,,,,,,,
169,169,0.056543832,76707.06381,5499.651099,5038.430029,,,,,,,,
170,170,0.048572966,58615.64973,5574.181742,8184.180776,,,,,,,,
171,171,0.884868243,78419.75215,9491.776515,13192.77165,,,,,,,,
172,172,1.910993686,102882.9586,31508.37587,24760.17621,,,,,,,,
173,173,1.072588207,74531.83178,6751.494572,10640.97116,,,,,,,,
174,174,0.042928971,77023.7117,6072.252434,6395.669429,,,,,,,,
175,175,1.113407127,96352.98595,31916.61268,41472.19368,,,,,,,,
176,176,0.829425156,79398.15819,17520.50419,22461.72156,,,,,,,,
177,177,0.052572658,77187.02129,6610.040038,9724.187782,,,,,,,,
178,178,1.22331141,71097.97327,11443.77456,15321.02102,,,,,,,,
179,179,0.494984617,111024.8762,22495.64993,20240.9813,,,,,,,,
180,180,0.03598644,77214.60504,10857.56489,14950.66491,,,,,,,,
181,181,0.5153023,86576.37642,28023.29401,87742.69326,,,,,,,,
182,182,0.384606454,70224.27558,11231.61535,18658.62192,,,,,,,,
183,183,0.05917755,76819.73641,32542.48905,105950.775,,,,,,,,
184,184,0.011568277,78056.55597,5719.65826,3807.380308,,,,,,,,
185,185,0.897113633,78129.29608,15524.04664,20786.3256,,,,,,,,
186,186,0.06866042,97051.91025,12990.18549,18321.43553,,,,,,,,
187,187,0.363885011,70538.20486,7185.427295,10755.05528,,,,,,,,
188,188,1.083455043,95938.03064,15366.73678,42834.6229,,,,,,,,
189,189,0.992221349,98901.92147,17497.60301,13059.41167,,,,,,,,
190,190,1.082165064,74180.67103,5506.703609,4894.325672,,,,,,,,
191,191,0.204795633,73810.97325,15020.32556,14876.79117,,,,,,,,
192,192,0.049740096,97011.46467,6618.500815,6027.428828,,,,,,,,
193,193,0.374208003,70394.09449,10352.81246,17526.22624,,,,,,,,
194,194,0.985594243,76090.95664,25850.78673,78772.08337,,,,,,,,
195,195,0.207894859,73687.28101,7492.806819,12300.37281,,,,,,,,
196,196,0.02989944,77511.55141,8815.233797,12526.46926,,,,,,,,
197,197,1.650909974,82086.05527,14089.39007,18038.64125,,,,,,,,
198,198,0.632478027,108276.9967,6073.904619,3001.742218,,,,,,,,
199,199,0.736830257,143093.9423,11583.86001,8495.2959,,,,,,,,
200,200,1.206368308,71430.35024,13095.25723,23319.2448,,,,,,,,
201,201,0.136637528,96038.87943,11477.94269,8506.951691,,,,,,,,
202,202,0.843505106,60618.00011,5554.274897,7501.813594,,,,,,,,
203,203,1.130852382,73220.94322,16239.64838,19165.49292,,,,,,,,
204,204,1.173385364,72217.74141,32594.51896,128943.7527,,,,,,,,
205,205,1.041473505,74894.57844,13622.25772,20638.4271,,,,,,,,
206,206,0.645329031,64888.67358,4873.155881,2492.263292,,,,,,,,
207,207,0.469104269,68268.70373,8030.119521,9757.852272,,,,,,,,
208,208,0.648245894,83710.68466,7303.46412,15735.62959,,,,,,,,
209,209,0.622647229,108000.6491,15837.94589,11980.89521,,,,,,,,
210,210,0.648224936,83364.61806,12135.41273,20269.83887,,,,,,,,
211,211,0.543540744,85826.72291,9873.342867,13498.55579,,,,,,,,
212,212,0.757331825,62685.6788,5691.573413,8933.137043,,,,,,,,
213,213,0.013489377,60021.91679,6825.40973,10873.60565,,,,,,,,
214,214,0.200916588,73859.04266,7951.365728,9645.434408,,,,,,,,
215,215,0.193197462,94661.02962,15448.09271,20041.96321,,,,,,,,
216,216,1.31501584,69147.67261,20028.51015,59347.64229,,,,,,,,
217,217,0.01689241,77663.07544,5595.592255,5074.390275,,,,,,,,
218,218,0.511986334,67565.5093,7037.405747,10558.28438,,,,,,,,
219,219,0.981775887,76138.6574,11454.05468,15298.14045,,,,,,,,
220,220,1.216142168,71326.91875,23769.15292,23895.32606,,,,,,,,
221,221,0.775352149,103786.5809,15507.61458,11735.33408,,,,,,,,
222,222,0.853694327,60749.32441,5155.13223,6682.028134,,,,,,,,
223,223,0.819183943,79690.18228,6369.083203,9627.309897,,,,,,,,
224,224,0.611836809,86289.3146,23826.97564,19786.17727,,,,,,,,
225,225,0.008493986,77755.9319,12072.74235,20726.00425,,,,,,,,
226,226,1.194363113,71656.18683,20233.16669,60325.99787,,,,,,,,
227,227,0.59269507,65965.60094,13513.2301,26094.37363,,,,,,,,
228,228,1.013805431,75471.89774,15452.03785,20750.88984,,,,,,,,
229,229,0.48383268,87180.05516,32129.19886,158312.5907,,,,,,,,
230,230,0.848618181,78993.9196,11765.98981,20807.91557,,,,,,,,
231,231,1.132723926,72954.94506,11156.99495,14832.99429,,,,,,,,
232,232,0.04324215,97511.73298,6682.444426,4644.887269,,,,,,,,
233,233,1.398810428,67414.22636,12023.27305,19596.45916,,,,,,,,
234,234,0.682057674,82681.74933,25274.68759,25952.61029,,,,,,,,
235,235,0.374208003,70394.09449,10352.81246,17526.22624,,,,,,,,
236,236,0.566363439,66516.49022,10521.75211,17512.13228,,,,,,,,
237,237,0.094713977,96917.23491,14250.32829,31117.14796,,,,,,,,
238,238,1.717135014,80601.73386,50615.40363,70256.86687,,,,,,,,
239,239,0.410090787,51652.62275,9849.756841,12014.91804,,,,,,,,
240,240,0.58756586,110280.4282,28158.50507,22025.99911,,,,,,,,
241,241,0.702594137,63757.76917,10508.93387,26507.82778,,,,,,,,
242,242,0.512084501,86364.11967,12216.353,19549.44334,,,,,,,,
243,243,1.090389525,55810.38535,3699.957989,1551.527871,,,,,,,,
244,244,0.018661083,77599.84488,11042.38632,15038.67933,,,,,,,,
245,245,0.193197462,94661.02962,15448.09271,20041.96321,,,,,,,,
246,246,0.102570122,75843.94315,10748.19838,14860.75413,,,,,,,,
247,247,0.609050765,65684.10984,5820.496133,8967.830391,,,,,,,,
248,248,0.37281091,52523.83201,9548.428371,12109.86065,,,,,,,,
249,249,0.727407139,81710.79498,23779.35192,55669.68331,,,,,,,,
